Date	Time	Severity	PID	TID	Function	Message
02-04-2025	23:15:27.476	 INFO	 28428	 26596	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 46091421
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
02-04-2025	23:15:27.479	 INFO	 28428	 26596	LateInitialization	"Intialization finished"
03-04-2025	00:10:04.963	 INFO	 43816	 42152	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:10:04.965	 INFO	 43816	 42152	DllMain	"PROCESS ATTACHED"
03-04-2025	00:10:04.966	 INFO	 43816	 43128	LateInitialization	"Intialization..."
03-04-2025	00:10:04.967	 INFO	 43816	 43128	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2025	00:10:04.968	 INFO	 43816	 43128	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2025	00:10:04.969	 INFO	 43816	 43128	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2025	00:10:04.970	 INFO	 43816	 43128	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2025	00:10:04.972	 INFO	 43816	 43128	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2025	00:10:04.975	ERROR	 43816	 43128	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2025	00:10:04.976	 INFO	 43816	 43128	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 49368968
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2025	00:10:04.977	 INFO	 43816	 43128	LateInitialization	"Intialization finished"
03-04-2025	00:11:09.120	 INFO	 43112	 17700	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:11:09.121	 INFO	 43112	 17700	DllMain	"PROCESS ATTACHED"
03-04-2025	00:11:09.121	 INFO	 43112	 24436	LateInitialization	"Intialization..."
03-04-2025	00:11:09.122	 INFO	 43112	 24436	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2025	00:11:09.122	 INFO	 43112	 24436	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2025	00:11:09.123	 INFO	 43112	 24436	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2025	00:11:09.125	 INFO	 43112	 24436	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2025	00:11:09.125	 INFO	 43112	 24436	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2025	00:11:09.128	ERROR	 43112	 24436	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2025	00:11:09.129	 INFO	 43112	 24436	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 49433125
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2025	00:11:09.130	 INFO	 43112	 24436	LateInitialization	"Intialization finished"
03-04-2025	00:11:23.400	 INFO	 33764	 43956	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:11:23.402	 INFO	 33764	 43956	DllMain	"PROCESS ATTACHED"
03-04-2025	00:11:23.403	 INFO	 33764	 39744	LateInitialization	"Intialization..."
03-04-2025	00:11:23.404	 INFO	 33764	 39744	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2025	00:11:23.404	 INFO	 33764	 39744	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2025	00:11:23.405	 INFO	 33764	 39744	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2025	00:11:23.405	 INFO	 33764	 39744	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2025	00:11:23.408	 INFO	 33764	 39744	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2025	00:11:23.415	ERROR	 33764	 39744	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2025	00:11:23.416	 INFO	 33764	 39744	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 49447421
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2025	00:11:23.416	 INFO	 33764	 39744	LateInitialization	"Intialization finished"
03-04-2025	00:34:43.956	 INFO	 43112	 45000	DllMain	"DLL_PROCESS_DETACH"
03-04-2025	00:34:43.960	 INFO	 43112	 45000	DllMain	"PROCESS DETACHED"
03-04-2025	00:34:43.987	 INFO	 33764	 44752	DllMain	"DLL_PROCESS_DETACH"
03-04-2025	00:34:43.989	 INFO	 33764	 44752	DllMain	"PROCESS DETACHED"
03-04-2025	23:41:23.178	 INFO	 13492	  2776	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	23:41:23.182	 INFO	 13492	  2776	DllMain	"PROCESS ATTACHED"
03-04-2025	23:41:23.183	 INFO	 13492	 38344	LateInitialization	"Intialization..."
03-04-2025	23:41:23.184	 INFO	 13492	 38344	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2025	23:41:23.195	 INFO	 13492	 38344	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2025	23:41:23.197	 INFO	 13492	 38344	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2025	23:41:23.200	 INFO	 13492	 38344	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2025	23:41:23.203	 INFO	 13492	 38344	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2025	23:41:23.211	ERROR	 13492	 38344	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2025	23:41:23.213	 INFO	 13492	 38344	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 42561921
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2025	23:41:23.214	 INFO	 13492	 38344	LateInitialization	"Intialization finished"
03-04-2025	23:41:37.488	 INFO	 35744	 20980	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	23:41:37.490	 INFO	 35744	 20980	DllMain	"PROCESS ATTACHED"
03-04-2025	23:41:37.490	 INFO	 35744	 13284	LateInitialization	"Intialization..."
03-04-2025	23:41:37.491	 INFO	 35744	 13284	LoadDisplayDevicesName	"DisplayDevices : "
03-04-2025	23:41:37.493	 INFO	 35744	 13284	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-04-2025	23:41:37.496	 INFO	 35744	 13284	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-04-2025	23:41:37.498	 INFO	 35744	 13284	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-04-2025	23:41:37.499	 INFO	 35744	 13284	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-04-2025	23:41:37.505	ERROR	 35744	 13284	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-04-2025	23:41:37.506	 INFO	 35744	 13284	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 42576218
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-04-2025	23:41:37.507	 INFO	 35744	 13284	LateInitialization	"Intialization finished"
